City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Kollam,IN,78.8,mist,8.88,76.6,The Raviz Ashtamudi
4,Hithadhoo,MV,83.89,light rain,-0.6,73.08,Scoop Guest House
6,Rikitea,PF,76.14,clear sky,-23.12,-134.97,Pension Maro'i
7,Boundiali,CI,72.86,clear sky,9.52,-6.49,Hotel Paysan Boundiali
8,Aguimes,ES,78.8,clear sky,27.91,-15.45,Hotel Villa de Aguimes
9,Extremoz,BR,78.8,few clouds,-5.71,-35.31,Casa do Mochileiro Airport Hostel
10,East London,ZA,65.01,overcast clouds,-33.02,27.91,Tu Casa
11,Vila Velha,BR,71.6,light rain,-20.33,-40.29,Hotel Vitória Palace
14,Hilo,US,84.2,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
16,Saint George,US,69.8,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
18,Ribeira Grande,PT,68.99,scattered clouds,38.52,-28.7,Quinta da Meia Eira
22,San Policarpo,PH,84.51,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
23,Vaini,TO,80.6,broken clouds,-21.2,-175.2,Keleti Beach Resort
28,Bengkulu,ID,82.58,moderate rain,-3.8,102.27,Grage Hotel Bengkulu
31,Alofi,NU,80.6,broken clouds,-19.06,-169.92,Taloa Heights
32,Grand Gaube,MU,68.0,shower rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
33,Cockburn Town,TC,82.51,broken clouds,21.46,-71.14,Osprey Beach Hotel
35,Kahului,US,87.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
39,Atuona,PF,78.37,few clouds,-9.8,-139.03,Villa Enata
45,Anamoros,SV,74.25,overcast clouds,13.74,-87.87,Hotel y Restaurante Romega Inn
46,Kapaa,US,81.0,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
50,Diffa,NE,76.51,clear sky,13.32,12.61,ProDAF/Diffa
51,Butaritari,KI,81.75,overcast clouds,3.07,172.79,Isles Sunset Lodge
52,Cabedelo,BR,78.8,few clouds,-6.98,-34.83,Lua Mansa Pousada
53,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
55,Isangel,VU,80.53,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
58,Naze,JP,77.0,scattered clouds,28.37,129.48,奄美ポートタワーホテル
59,Avarua,CK,75.2,light rain,-21.21,-159.78,Paradise Inn
67,Neiafu,TO,78.8,broken clouds,-18.65,-173.98,Mystic Sands
69,Dharapuram,IN,77.0,mist,10.73,77.52,Sakthi Lodge
70,Kieta,PG,85.59,light rain,-6.22,155.63,
71,Puerto Ayora,EC,70.0,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
78,Arraial Do Cabo,BR,70.95,scattered clouds,-22.97,-42.03,Pousada Porto Praia
79,Ahipara,NZ,69.73,few clouds,-35.17,173.17,Ahipara Holiday Park
80,Tessalit,ML,73.54,clear sky,20.2,1.01,
81,Eyl,SO,77.7,clear sky,7.98,49.82,Amiin Hotel
82,Mitsamiouli,KM,77.18,light rain,-11.38,43.28,Foyer ADM
83,Sao Gabriel Da Cachoeira,BR,73.26,moderate rain,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
87,Lakes Entrance,AU,68.0,scattered clouds,-37.88,147.98,The Esplanade Resort & Spa
94,Gasa,PS,72.0,overcast clouds,31.5,34.47,رابطة الفنانين الفلسطينيين
95,Victoria,HK,77.0,clear sky,22.29,114.16,Mini Hotel Central
96,Luanda,AO,77.0,broken clouds,-8.84,13.23,EPIC SANA Luanda
97,Airai,TL,78.1,clear sky,-8.93,125.41,Juvinal Martin
100,Mahebourg,MU,68.0,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
102,Bambanglipuro,ID,84.81,clear sky,-7.95,110.28,Puri Brata
109,Kavaratti,IN,81.81,broken clouds,10.57,72.64,Hotels in Lakshadweep Islands
110,Vila Franca Do Campo,PT,68.0,broken clouds,37.72,-25.43,Pestana Bahia Praia
111,Cayenne,GF,77.0,broken clouds,4.93,-52.33,Hôtel Le Dronmi
112,Sao Filipe,CV,79.32,overcast clouds,14.9,-24.5,Tortuga B&B
122,Swan Hill,AU,73.67,clear sky,-35.34,143.55,Lazy River Motor Inn
124,Cabo San Lucas,MX,80.6,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
127,Banda Aceh,ID,83.7,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
131,Keti Bandar,PK,77.54,clear sky,24.14,67.45,Haji laloo memon house
137,The Valley,AI,82.4,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
144,Ponta Delgada,PT,68.0,broken clouds,37.73,-25.67,Vila Nova Hotel
145,Lagoa,PT,68.43,overcast clouds,39.05,-27.98,Casa Das Faias
146,Pedernales,DO,80.29,overcast clouds,18.04,-71.74,Hotel Costa Marina
147,Inirida,CO,74.7,moderate rain,3.87,-67.92,Fuente del Guania Hotel de Lujo
148,Tamandare,BR,77.09,overcast clouds,-8.76,-35.1,Pousada 100 Passos
153,Samana,DO,78.94,overcast clouds,19.21,-69.34,The Bannister - Hotel & Yacht Club
155,Ambilobe,MG,69.04,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
157,Caravelas,BR,72.46,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
158,Lakatoro,VU,84.2,few clouds,-16.1,167.42,Lakatoro Palm Lodge
159,Bambous Virieux,MU,68.0,shower rain,-20.34,57.76,Casa Tia Villa
160,Ponta Do Sol,PT,72.0,few clouds,32.67,-17.1,Hotel do Campo
161,Manjeri,IN,75.2,mist,11.12,76.12,ITTC
162,Muroto,JP,68.0,broken clouds,33.28,134.15,Oota Ryokan
164,Praia Da Vitoria,PT,71.6,light intensity shower rain,38.73,-27.07,Hotel Branco I
167,Kavieng,PG,85.28,light rain,-2.57,150.8,Nusa Island Retreat
168,Sikasso,ML,74.7,overcast clouds,10.92,-7.0,
171,Ciudad Bolivar,VE,79.83,overcast clouds,8.12,-63.55,Hotel Edi
172,Altamira,BR,79.3,clear sky,-3.2,-52.21,Requinte Hotel
176,Tabou,CI,77.5,broken clouds,4.42,-7.35,hotêl doufoulougou
177,Karratha,AU,84.43,clear sky,-20.74,116.85,ibis Styles Karratha
178,Maceio,BR,75.2,clear sky,-9.67,-35.74,Mercure Maceio Pajucara Hotel
179,Chabahar,IR,71.85,clear sky,25.29,60.64,هتل گدروشیا
181,Dingle,PH,82.29,moderate rain,11.0,122.67,Camp Pasica
183,Tual,ID,83.66,light rain,-5.67,132.75,Grand Vilia Hotel
190,Salinopolis,BR,80.47,few clouds,-0.61,-47.36,Hotel Salinópolis
191,Nyimba,ZM,69.67,clear sky,-14.56,30.81,Dali Dali Lodge
192,Chenghai,CN,73.4,clear sky,23.46,116.77,Guangdong Hotel
194,Esperance,AU,75.2,overcast clouds,-33.87,121.9,Hospitality Esperance
198,Souillac,MU,68.0,shower rain,-20.52,57.52,Bils' Villa
200,Clarence Town,AU,68.0,light intensity shower rain,-32.58,151.78,River Downs Cottage
202,Juarez,MX,71.6,overcast clouds,31.73,-106.48,Holiday Inn Express El Paso-Central
206,Cassia,BR,66.31,overcast clouds,-20.58,-46.92,Hotel Ancora e Restaurante de Cassia MG
214,Krishnarajasagara,IN,70.34,few clouds,12.41,76.58,Royal Orchid Brindavan Garden Palace & Spa
215,Palembang,ID,80.11,overcast clouds,-2.92,104.75,ASTON Palembang Hotel & Conference Center
216,Linhares,BR,68.09,light rain,-19.39,-40.07,Hotel Conceição
218,Mogadishu,SO,79.36,light rain,2.04,45.34,Hotel Juba
223,San Patricio,US,66.2,few clouds,28.02,-97.52,"Motel 6 Sinton, TX"
224,Tondano,ID,87.8,few clouds,1.3,124.91,Villa Bella
225,Kupang,ID,89.73,few clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
226,Bathsheba,BB,78.8,broken clouds,13.22,-59.52,Atlantis Hotel
230,Kawalu,ID,82.56,clear sky,-7.38,108.21,KOSAN UNGU UNSIK
231,Edgewater,US,77.0,broken clouds,28.99,-80.9,Islander Beach Resort
232,Taoudenni,ML,73.98,broken clouds,22.68,-3.98,
233,Beitbridge,ZW,67.21,broken clouds,-22.22,30.0,PETERS MOTEL & CONFERENCE CENTRE
234,Callaway,US,69.8,broken clouds,30.15,-85.57,Holiday Inn Express & Suites Panama City-Tyndall
236,Daru,PG,84.63,scattered clouds,-9.08,143.21,New century hotel
241,Sao Geraldo Do Araguaia,BR,77.54,heavy intensity rain,-6.4,-48.55,Hotel Rio Araguaia
243,Roebourne,AU,87.22,clear sky,-20.78,117.13,Harding River Caravan Park
247,Kaseda,JP,68.0,broken clouds,31.42,130.32,Sun Stay Kaseda
248,Lumut,MY,80.6,few clouds,4.23,100.63,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
251,Tartus,SY,69.01,scattered clouds,34.89,35.89,Antaradus Hotel
252,Paracuru,BR,80.01,overcast clouds,-3.41,-39.03,Hotel Vento Brasil
253,Alta Floresta,BR,74.3,broken clouds,-9.88,-56.09,Floresta Amazonica Hotel
257,Hirara,JP,75.2,broken clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
259,Navirai,BR,66.87,clear sky,-23.07,-54.19,Dubai Hotel - Também sua casa!
261,Anito,PH,84.16,light rain,12.45,125.29,The Yellow House
266,Basoko,CD,71.24,moderate rain,1.24,23.62,Flat Hotel La Benediction
267,Adrar,MR,78.33,broken clouds,20.5,-10.07,
