City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,48.2,87,75,5.82,broken clouds
1,Qaanaaq,GL,77.48,-69.36,5.5,82,0,4.9,clear sky
2,Busselton,AU,-33.65,115.33,57.0,93,100,1.99,overcast clouds
3,Kollam,IN,8.88,76.6,78.8,100,20,2.51,mist
4,Hithadhoo,MV,-0.6,73.08,83.89,70,100,8.77,light rain
5,Kambove,CD,-10.88,26.6,61.23,57,65,3.11,broken clouds
6,Rikitea,PF,-23.12,-134.97,76.14,67,0,8.08,clear sky
7,Boundiali,CI,9.52,-6.49,72.86,55,2,0.67,clear sky
8,Aguimes,ES,27.91,-15.45,78.8,24,0,12.75,clear sky
9,Extremoz,BR,-5.71,-35.31,78.8,88,20,4.7,few clouds
10,East London,ZA,-33.02,27.91,65.01,74,97,12.19,overcast clouds
11,Vila Velha,BR,-20.33,-40.29,71.6,83,90,10.29,light rain
12,Codrington,AU,-38.27,141.97,60.51,74,60,8.9,broken clouds
13,Barrow,US,71.29,-156.79,24.8,68,90,13.87,overcast clouds
14,Hilo,US,19.73,-155.09,84.2,62,90,9.17,overcast clouds
15,Lebu,CL,-37.62,-73.65,51.06,91,71,6.08,broken clouds
16,Saint George,US,37.1,-113.58,69.8,15,1,3.36,clear sky
17,Punta Arenas,CL,-53.15,-70.92,46.4,81,0,3.36,clear sky
18,Ribeira Grande,PT,38.52,-28.7,68.99,93,49,21.83,scattered clouds
19,Bethel,US,41.37,-73.41,34.0,92,1,1.63,clear sky
20,Saint-Joseph,RE,-21.37,55.62,64.4,68,90,9.17,light intensity drizzle rain
21,Faya,SA,18.39,42.45,59.0,35,0,1.3,clear sky
22,San Policarpo,PH,12.18,125.51,84.51,77,100,6.42,overcast clouds
23,Vaini,TO,-21.2,-175.2,80.6,74,75,13.87,broken clouds
24,Bluff,NZ,-46.6,168.33,57.0,75,99,17.0,light rain
25,Vila,PT,42.03,-8.16,59.0,94,100,7.0,overcast clouds
26,Guozhen,CN,34.37,107.36,59.74,31,3,4.7,clear sky
27,Jamestown,US,42.1,-79.24,39.99,74,1,8.05,clear sky
28,Bengkulu,ID,-3.8,102.27,82.58,69,100,1.25,moderate rain
29,Albany,US,42.6,-73.97,35.01,84,0,5.01,clear sky
30,Chernyshevskiy,RU,63.01,112.47,0.55,91,0,2.06,clear sky
31,Alofi,NU,-19.06,-169.92,80.6,78,64,23.04,broken clouds
32,Grand Gaube,MU,-20.01,57.66,68.0,72,40,9.17,shower rain
33,Cockburn Town,TC,21.46,-71.14,82.51,78,69,20.33,broken clouds
34,Mantua,IT,45.17,10.78,53.01,98,0,1.99,clear sky
35,Kahului,US,20.89,-156.47,87.8,52,40,10.29,scattered clouds
36,Abu Samrah,SY,35.3,37.18,61.63,72,95,3.13,overcast clouds
37,Flinders,AU,-34.58,150.86,62.01,89,100,7.0,light rain
38,Pangody,RU,65.85,74.49,23.41,98,100,9.53,overcast clouds
39,Atuona,PF,-9.8,-139.03,78.37,75,11,17.2,few clouds
40,Mataura,NZ,-46.19,168.86,57.0,75,97,17.0,overcast clouds
41,Uyuni,BO,-20.46,-66.83,49.66,35,0,9.75,clear sky
42,Fortuna,US,40.6,-124.16,51.01,100,90,6.93,overcast clouds
43,Amursk,RU,50.23,136.9,42.37,85,100,7.49,light rain
44,Qasigiannguit,GL,68.82,-51.19,21.2,73,92,11.41,light snow
45,Anamoros,SV,13.74,-87.87,74.25,85,94,6.8,overcast clouds
46,Kapaa,US,22.08,-159.32,81.0,74,75,6.93,broken clouds
47,Nikolskoye,RU,59.7,30.79,33.01,100,90,4.47,fog
48,Norman Wells,CA,65.28,-126.83,-4.0,83,20,2.24,few clouds
49,Turbat,PK,26.0,63.04,61.61,22,0,7.74,clear sky
50,Diffa,NE,13.32,12.61,76.51,28,0,10.02,clear sky
51,Butaritari,KI,3.07,172.79,81.75,76,100,14.38,overcast clouds
52,Cabedelo,BR,-6.98,-34.83,78.8,83,20,5.82,few clouds
53,Georgetown,MY,5.41,100.34,80.6,83,20,3.36,few clouds
54,Broome,US,42.25,-75.83,34.0,69,1,9.17,clear sky
55,Isangel,VU,-19.55,169.27,80.53,70,95,15.01,overcast clouds
56,Tiksi,RU,71.69,128.87,-1.77,91,83,7.05,broken clouds
57,Mount Isa,AU,-20.73,139.5,91.4,13,0,6.93,clear sky
58,Naze,JP,28.37,129.48,77.0,78,40,14.99,scattered clouds
59,Avarua,CK,-21.21,-159.78,75.2,83,100,8.05,light rain
60,Chokurdakh,RU,70.63,147.92,-8.0,91,80,7.63,broken clouds
61,Port Alfred,ZA,-33.59,26.89,61.52,81,66,10.92,broken clouds
62,Buy,RU,58.48,41.53,29.91,97,0,4.68,clear sky
63,Thompson,CA,55.74,-97.86,12.2,85,20,6.93,few clouds
64,Otaru,JP,43.19,141.0,55.4,76,75,16.11,light intensity shower rain
65,Khatanga,RU,71.97,102.5,-4.18,88,78,9.84,broken clouds
66,Kaitangata,NZ,-46.28,169.85,60.01,54,94,18.01,overcast clouds
67,Neiafu,TO,-18.65,-173.98,78.8,83,75,10.29,broken clouds
68,Springbok,ZA,-29.66,17.89,59.72,41,0,16.13,clear sky
69,Dharapuram,IN,10.73,77.52,77.0,88,40,4.7,mist
70,Kieta,PG,-6.22,155.63,85.59,66,85,5.12,light rain
71,Puerto Ayora,EC,-0.74,-90.35,70.0,90,65,5.99,broken clouds
72,Ketovo,RU,55.35,65.33,34.77,88,100,9.86,overcast clouds
73,Rivers,CA,50.03,-100.24,24.8,68,20,23.04,few clouds
74,Iqaluit,CA,63.75,-68.51,5.0,77,20,4.7,few clouds
75,Cidreira,BR,-30.18,-50.21,62.24,74,0,6.62,clear sky
76,Clyde River,CA,70.47,-68.59,10.4,85,1,18.34,clear sky
77,Miquelon,PM,47.1,-56.38,38.32,75,31,24.32,scattered clouds
78,Arraial Do Cabo,BR,-22.97,-42.03,70.95,81,42,16.02,scattered clouds
79,Ahipara,NZ,-35.17,173.17,69.73,62,14,4.68,few clouds
80,Tessalit,ML,20.2,1.01,73.54,21,1,10.29,clear sky
81,Eyl,SO,7.98,49.82,77.7,77,3,7.96,clear sky
82,Mitsamiouli,KM,-11.38,43.28,77.18,80,100,8.97,light rain
83,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,73.26,97,100,2.06,moderate rain
84,Valparaiso,CL,-33.04,-71.63,51.8,100,90,3.36,overcast clouds
85,Susuman,RU,62.78,148.17,9.93,92,90,1.79,overcast clouds
86,Crisan,RO,44.97,29.47,46.4,87,66,18.34,broken clouds
87,Lakes Entrance,AU,-37.88,147.98,68.0,72,27,5.01,scattered clouds
